shortcode,owner,comment,likes,text,location,post_likes,taken_at_timestamp
CCm2t-uB_rK,cwadirondack,@realdonaldtrump yes we will,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,brietrusty,Fire pic of u,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,zmintonye,And ur commenting this why?,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,nycboro2boro,"maybe you didn't know i knew 
it was the questions you would ask
in time i seen the clarity through 
around the time everyone brainwashed wore a mask
aware of the dare i kept it true 
everything i did wasn't enough of a task
it takes a team to dream may our dreams come true 
love and light will always and forever everlast 
in between the 3hree letter phrase began with i and end with u
love is a magic potion an emotion in motion 
all things will always fall into place 
ever heard the story about the girl with the starfish by the ocean 
one starfish at a time it made a difference she began to embrace 
what if all our prayers made a universal alignment explosion 
as we pray as one for hUmaNITY and our human race 
we do today for tomorrow knowing the blessings will follow 
the truth for most hard to swallow 
i solved the puzzle without purchasing a vowel 
walk by faith despite all in sight dont throw in the towel",0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,nycboro2boro,🙏,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,yogi_bhagavati,Great shot,0,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,yogi_bhagavati,"All I can say is thankyou - thankyou for being the first president in my life time to not take us to WAR —- 
And thankyou for focusing on the worlds really pandemic- human trafficking.... thankyou thankyou thankyou 
Really is no words 
May god keep you safe",1,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CCm2t-uB_rK,missmarlenemarie,Epic photo 😍,1,The Silent Majority will reign!,The White House,1060523,2020-07-14 04:17:32
CChsaSjBobU,jojolavass,I'm concerned about Biden😬,0, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,trumplican217,TRUMP TRAIN TRUMPLICANS!!!🇺🇸❤️🇺🇸❤️❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸,0, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,karen_hepburn73,bûtthõlēs🍤are😛nothing💃🏼to🦠be🤰laughed😡at👄they’re🐂 just😟 a👾part🎛of👺the🤖human🕴body😡,1, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,dianahasjoy,"NO funding for CDC, track-trace, testing! @realdonaldtrump",0, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,thehapinessguru,Trump 2020 Biden might have some severe memory problems,0, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,jaychlebs,@dr_philthy_fresh,0, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,1amyhill,@cali4niapoppy,0, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,hannah.nancyy,he’s better than you tho isn’t he 🤡,4, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,vivienne.pullen,Rather him answer it then an orange !!,2, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,damas.cr,Trump 2020,0, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,jeronimo.francia,Every one hates Trump poor of him XD,1, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,wedorecoverjft,Again...a very low rent attempt 💣💣🇨🇦🇨🇦,0, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,_sarah_bellaa,@rarestrosergy,0, , ,329192,2020-07-12 04:12:16
CChsaSjBobU,canyon_medeiros04,🤣🤣🤣🤣,0, , ,329192,2020-07-12 04:12:16
